Week,Game,Winner,Points,User,Picked_Team,Status,Points_Earned
1,DAL @ PHI,PHI,2,mark,PHI,Correct,2
1,KC @ LAC,LAC,2,mark,KC,Incorrect,0
1,TB @ ATL,TB,1,mark,TB,Correct,1
1,CIN @ CLE,CIN,1,mark,CIN,Correct,1
1,MIA @ IND,IND,1,mark,IND,Correct,1
1,LV @ NE,LV,1,mark,NE,Incorrect,0
1,ARI @ NO,ARI,1,mark,ARI,Correct,1
1,NYG @ WAS,WAS,1,mark,WAS,Correct,1
1,PIT @ NYJ,PIT,1,mark,PIT,Correct,1
1,CAR @ JAC,JAC,1,mark,JAC,Correct,1
1,TEN @ DEN,DEN,1,mark,DEN,Correct,1
1,SF @ SEA,SF,1,mark,SF,Correct,1
1,DET @ GB,GB,1,mark,GB,Correct,1
1,HOU @ LA,LA,1,mark,LA,Correct,1
1,BAL @ BUF,BUF,1,mark,BUF,Correct,1
1,MIN @ CHI,MIN,2,mark,MIN,Correct,2
1,DAL @ PHI,PHI,2,mark2,DAL,Incorrect,0
1,KC @ LAC,LAC,2,mark2,KC,Incorrect,0
1,TB @ ATL,TB,1,mark2,ATL,Incorrect,0
1,CIN @ CLE,CIN,1,mark2,CIN,Correct,1
1,MIA @ IND,IND,1,mark2,MIA,Incorrect,0
1,LV @ NE,LV,1,mark2,LV,Correct,1
1,ARI @ NO,ARI,1,mark2,NO,Incorrect,0
1,NYG @ WAS,WAS,1,mark2,NYG,Incorrect,0
1,PIT @ NYJ,PIT,1,mark2,NYJ,Incorrect,0
1,CAR @ JAC,JAC,1,mark2,JAC,Correct,1
1,TEN @ DEN,DEN,1,mark2,DEN,Correct,1
1,SF @ SEA,SF,1,mark2,SF,Correct,1
1,DET @ GB,GB,1,mark2,GB,Correct,1
1,HOU @ LA,LA,1,mark2,LA,Correct,1
1,BAL @ BUF,BUF,1,mark2,BUF,Correct,1
1,MIN @ CHI,MIN,2,mark2,MIN,Correct,2
1,DAL @ PHI,PHI,2,pam,PHI,Correct,2
1,KC @ LAC,LAC,2,pam,KC,Incorrect,0
1,TB @ ATL,TB,1,pam,TB,Correct,1
1,CIN @ CLE,CIN,1,pam,CIN,Correct,1
1,MIA @ IND,IND,1,pam,MIA,Incorrect,0
1,LV @ NE,LV,1,pam,NE,Incorrect,0
1,ARI @ NO,ARI,1,pam,NO,Incorrect,0
1,NYG @ WAS,WAS,1,pam,NYG,Incorrect,0
1,PIT @ NYJ,PIT,1,pam,PIT,Correct,1
1,CAR @ JAC,JAC,1,pam,CAR,Incorrect,0
1,TEN @ DEN,DEN,1,pam,TEN,Incorrect,0
1,SF @ SEA,SF,1,pam,SF,Correct,1
1,DET @ GB,GB,1,pam,GB,Correct,1
1,HOU @ LA,LA,1,pam,HOU,Incorrect,0
1,BAL @ BUF,BUF,1,pam,BUF,Correct,1
1,MIN @ CHI,MIN,2,pam,CHI,Incorrect,0
1,DAL @ PHI,PHI,2,paul,PHI,Correct,2
1,KC @ LAC,LAC,2,paul,KC,Incorrect,0
1,TB @ ATL,TB,1,paul,TB,Correct,1
1,CIN @ CLE,CIN,1,paul,CIN,Correct,1
1,MIA @ IND,IND,1,paul,IND,Correct,1
1,LV @ NE,LV,1,paul,NE,Incorrect,0
1,ARI @ NO,ARI,1,paul,ARI,Correct,1
1,NYG @ WAS,WAS,1,paul,WAS,Correct,1
1,PIT @ NYJ,PIT,1,paul,PIT,Correct,1
1,CAR @ JAC,JAC,1,paul,JAC,Correct,1
